cell_id,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT
A1,405,31,17,12,0,2,0
A2,612,3594,15,22,0,0,0
A3,63239,31418,23203,22572,150,2508,2603
A4,145127,68226,56778,63641,313,2885,983
A5,87477,29434,22460,26084,114,2333,468
A6,75013,21649,23387,18228,170,2367,2474
A7,36528,25825,16872,19719,71,2989,354
A8,62415,25102,25409,18091,153,2691,196
A9,24653,16714,11156,9345,127,2641,174
A10,40606,16395,17023,17131,75,2242,665
A11,55236,25983,27790,17278,285,2414,1411
A12,45046,27264,17863,17931,154,2758,1357
A13,16396,10895,9418,7181,91,2784,292
A14,50720,23557,21712,19128,99,2744,261
A15,24048,8788,9025,7909,53,2896,26
A16,62447,22346,20753,28052,161,3172,202
A17,24938,27924,13156,9771,112,3934,1595
A18,53595,22976,19536,21132,123,2773,527
A19,35918,19597,16448,12786,151,3485,1498
A20,57569,22370,22449,27285,128,3880,2968
A21,25272,8388,10028,9217,62,2392,47
A22,85626,25335,19085,19209,126,2055,1112
A23,12589,5183,5725,3890,14,620,300
A24,22686,9999,4358,2724,67,345,166
B1,114301,54007,41825,38419,315,1849,8338
B2,32435,11848,15297,10959,94,2709,326
B3,88212,57145,17701,16151,110,2469,350
B4,40141,14074,21746,16180,195,3488,1921
B5,42734,18937,16083,21828,151,2188,1737
B6,10978,5472,612,387,5,31,93
B7,28068,22649,13431,12973,91,2540,151
B8,17616,20937,11922,7519,152,2838,97
B9,35201,33825,13468,12203,57,3676,271
B10,18954,8987,6871,5837,61,2258,1132
B11,41402,21163,15498,17359,139,2949,365
B12,13747,8529,6561,5071,73,3007,617
B13,48548,15778,11741,13556,42,3226,92
B14,18343,12769,9090,6518,65,2591,223
B15,22835,17510,11121,9540,51,3229,547
B16,18056,15559,7343,5741,61,2295,163
B17,63705,38705,29494,23115,221,3323,471
B18,26704,6778,14112,9976,111,2570,180
B19,49613,19532,23740,18325,158,2999,646
B20,41663,36194,16685,14236,112,2525,652
B21,51963,11896,21120,10611,134,2488,769
B22,40271,14828,17903,11775,114,1880,554
B23,25108,12103,10280,8187,63,1689,387
B24,70611,13731,20016,11611,103,2108,683
C1,238217,76119,123576,43357,424,3988,4727
C2,62191,23725,55413,17197,88,3061,649
C3,68018,19890,67384,22966,151,2881,3592
C4,92581,29281,76865,33973,519,2623,7302
C5,37991,6583,604,416,4,29,39
C6,53439,18396,46314,9734,124,3520,1805
C7,48734,10755,48924,11167,67,4017,1663
C8,54603,17740,59447,13685,77,3152,1127
C9,58486,16910,45250,14725,177,2954,1215
C10,61963,16514,39280,11845,127,2715,1807
C11,65064,17103,54681,19282,277,3088,626
C12,59499,15434,63207,19737,58,3461,4458
C13,47292,13173,33763,12740,286,2805,2234
C14,55035,11917,42568,15475,107,3136,1736
C15,85592,33286,75183,27448,554,3046,12770
C16,92418,32340,57493,17660,270,2737,2166
C17,56367,17347,54240,16635,286,3018,1906
C18,39866,23000,36381,13094,110,2810,1308
C19,101799,31952,72955,31089,196,3384,2527
C20,90097,36259,75098,26611,246,4218,4232
C21,54461,26529,34346,16390,204,3339,2449
C22,36580,33940,25412,10128,54,2209,1066
C23,46731,24949,36108,12077,139,2749,1224
C24,170830,53446,77944,34171,341,2782,7319
D1,328737,97216,153320,52948,479,3801,12174
D2,33383,26382,27582,6523,63,2267,1110
D3,52519,23377,33124,13108,118,2694,2652
D4,60412,21596,56974,16765,306,2405,1263
D5,82946,19560,63709,21828,357,2827,3811
D6,96062,28261,64308,25087,582,2812,10132
D7,49646,25533,54496,11318,63,2715,1290
D8,48299,21642,48184,9851,84,3619,18
D9,28569,6876,26599,7036,40,2234,608
D10,41666,11288,40646,12700,119,1808,1976
D11,30885,9212,30813,9137,51,1937,1217
D12,35960,21644,34807,8063,91,2752,515
D13,41825,15386,36314,8427,67,1774,1260
D14,61698,19611,44860,18064,268,2314,577
D15,40451,19664,40001,10702,81,2011,873
D16,70426,18903,50436,14763,220,2374,240
D17,33981,8990,33899,6393,27,2608,646
D18,53768,14203,42867,14229,241,2800,1849
D19,38426,10283,28841,12160,127,1533,1240
D20,38337,14663,34310,8879,116,1967,1365
D21,65986,15981,60017,16852,147,3832,5320
D22,64019,23564,54793,12583,248,2915,3136
D23,39281,17706,26796,7962,105,1723,553
D24,27290,18648,16140,4808,48,1254,1158
E1,116157,39400,67553,24217,175,2650,1169
E2,49208,15549,43863,9234,98,3241,2220
E3,39161,8217,39318,9107,122,2708,1866
E4,50917,19488,45563,11643,64,2941,123
E5,38874,8230,40847,10841,85,2922,1658
E6,106791,27624,68950,30318,509,2372,5720
E7,64497,14801,51133,15424,131,2805,54
E8,55656,18232,43342,10142,51,2622,1864
E9,47829,10982,43268,8897,127,2987,122
E10,48848,13758,45105,11919,130,2619,1686
E11,59057,17004,52490,11194,75,2872,25
E12,60427,18248,52537,17337,162,3164,432
E13,83368,17483,60194,16611,142,3697,5790
E14,42172,13770,39005,11966,100,3332,1179
E15,172585,65610,132723,44184,1032,2739,21843
E16,65695,14469,42694,15585,176,2353,3021
E17,63376,18422,45478,15436,281,3407,3707
E18,121344,40589,96436,38245,532,2547,11896
E19,95900,37055,72318,19206,247,3831,2750
E20,71110,8728,29623,10829,104,1763,1605
E21,120057,42370,68273,36518,258,3467,1379
E22,71356,23988,64267,19201,218,1768,3323
E23,45675,16481,43705,11823,81,3429,2290
E24,74130,21430,46707,15184,174,3031,4648
F1,387289,113424,140021,61993,346,2965,10918
F2,43254,27841,26551,7493,77,1818,1039
F3,79285,28919,33894,14648,119,1513,778
F4,63644,26761,47319,16586,156,2103,3103
F5,93859,30957,67248,31045,443,2910,12489
F6,69683,6283,39673,5493,25,2412,504
F7,79426,19645,46778,18799,214,2330,171
F8,50247,16762,41725,16605,217,2110,251
F9,68684,27282,45649,17641,249,2477,4796
F10,71536,29039,56378,20731,398,2329,3330
F11,95834,38240,58899,33299,357,2479,1743
F12,53932,37529,50445,5834,51,2096,709
F13,51954,19374,41727,13178,132,2790,5417
F14,53211,8010,33895,7852,96,1927,80
F15,51154,14701,45575,12336,49,3265,2460
F16,51821,16245,45975,15276,185,2266,743
F17,58307,19631,50528,15744,70,2383,3306
F18,49929,11362,34978,7905,67,3157,1642
F19,119555,34125,85116,34394,393,2568,12530
F20,47724,31089,36429,13367,161,2114,2477
F21,77212,24680,49289,21937,312,2196,4489
F22,40893,13010,28322,9094,147,1361,736
F23,28734,15800,28624,6334,14,2226,1382
F24,29129,10619,29941,7691,42,2363,478
G1,50383,23577,24851,18814,118,2888,99
G2,24532,10282,11793,9551,96,3399,495
G3,2489,7349,180,148,0,37,1
G4,17445,12576,8925,7477,42,3410,92
G5,1058,18020,44,3,0,2,9
G6,49062,19460,24019,14303,122,2796,788
G7,94787,33056,44059,23727,318,2759,117
G8,23362,11840,11889,9438,79,2474,24
G9,37464,23804,21138,15312,140,2995,682
G10,25742,22298,13689,10749,114,3714,108
G11,32536,9604,16807,11868,97,2222,231
G12,24288,11320,12665,8957,65,3109,385
G13,44995,25106,30757,16272,257,2216,2261
G14,79907,29843,36851,25201,367,2763,376
G15,157022,18997,25953,14417,236,2523,80
G16,73160,33201,45339,10257,257,3322,442
G17,29587,20186,22785,10667,179,2458,49
G18,46555,21557,25644,16427,229,4250,84
G19,48777,13744,26870,16565,201,2760,25
G20,53471,21628,35024,24892,320,2972,234
G21,46670,20335,26305,13358,282,2590,117
G22,54006,26912,38138,17906,300,3207,58
G23,18402,8064,11614,8092,205,2642,53
G24,32205,22876,14305,13377,81,3396,39
H1,68702,15670,20029,18137,120,2815,242
H2,19206,13927,8853,7834,137,2056,18
H3,26556,8897,12247,8886,134,2552,20
H4,60506,18256,24141,15950,170,2950,512
H5,30062,18574,18884,8430,132,3046,11
H6,25719,18934,10711,9928,65,3351,373
H7,20453,13528,10342,7129,108,3217,22
H8,283755,6691,9359,8361,86,2156,14
H9,28618,5326,16189,5552,99,2594,198
H10,37230,28093,21869,17042,114,2778,111
H11,24492,16428,16149,9203,163,2784,32
H12,52079,24288,38951,18737,270,2451,475
H13,26601,20099,18250,8561,175,3433,343
H14,35194,23511,12402,11639,117,2561,6
H15,45355,19917,25028,15429,273,3172,46
H16,59289,28969,29997,20647,233,3064,19
H17,51933,30462,26557,16605,263,2235,506
H18,17315,16361,9925,7126,90,2965,18
H19,16356,7696,9154,5733,102,2251,13
H20,58652,20218,22277,16805,193,2905,152
H21,36592,14305,25904,9575,102,2973,111
H22,57789,28375,28719,18850,309,2795,98
H23,40510,16051,28097,12918,106,3147,61
H24,29203,10545,15587,8929,147,1930,147
I1,58014,25340,24154,16174,194,2652,68
I2,60107,24843,32037,23503,185,3680,133
I3,24680,15745,11085,7862,178,2692,39
I4,67366,18683,45759,22627,241,3757,878
I5,35793,9696,24363,9412,158,3135,27
I6,20569,20714,9250,6689,90,4083,10
I7,59153,19334,24542,19124,144,2890,67
I8,26976,15524,15096,6997,86,3457,16
I9,40025,14025,17583,9122,151,3231,165
I10,37412,12025,18346,9169,517,3944,37
I11,48835,13786,38763,13188,258,2792,777
I12,44453,15768,12366,7213,176,3431,59
I13,277845,97434,145776,89049,1299,3387,479
I14,25834,14790,18275,11771,275,3368,10
I15,30788,13466,18189,13438,178,3647,8
I16,24655,8874,20008,7540,166,3767,243
I17,110808,20568,19333,15218,272,2831,851
I18,87491,47621,47384,26966,265,3553,2543
I19,49198,13587,28029,11769,338,3004,53
I20,33142,14210,20876,9004,183,3826,30
I21,63613,18140,27785,18017,254,2889,102
I22,34468,26223,17599,9283,88,3449,14
I23,48798,23717,28491,16759,175,3155,77
I24,80218,27292,38656,20497,178,3151,41
J1,114529,39119,47350,27305,302,3925,192
J2,20426,14624,10612,5247,93,2481,10
J3,60668,33745,43895,28550,280,2800,7108
J4,45200,19061,32343,17562,291,2335,1278
J5,33604,11830,18449,7509,140,2424,311
J6,40223,13061,31877,14891,399,3115,2980
J7,54922,14492,16551,11987,115,2749,868
J8,22985,6997,19475,7879,207,2955,65
J9,33097,12501,17179,9990,130,2897,30
J10,36477,12233,21893,9889,84,2332,72
J11,34219,11747,22231,14083,173,2563,25
J12,55966,17071,37094,17385,297,2359,145
J13,51545,29217,24624,17926,111,2958,158
J14,66160,29880,46612,22211,359,2165,266
J15,70335,38075,28954,22422,199,2967,1916
J16,78257,44942,36901,19563,226,2940,772
J17,45885,7514,13293,9492,94,2624,32
J18,108878,47878,52193,38755,408,3232,387
J19,50425,20912,30884,14389,308,3088,1324
J20,27131,18888,13464,7867,171,2487,270
J21,38105,19633,21549,13364,203,3080,26
J22,32442,12554,28002,10995,243,2975,25
J23,145908,51167,45378,31130,273,2547,1148
J24,50356,17368,33731,17185,220,1681,127
K1,361375,136189,160265,104505,940,3896,1346
K2,103486,34393,40159,29778,290,3056,662
K3,59826,26508,36132,23331,282,3621,670
K4,48758,29625,26640,28905,228,3501,208
K5,611585,14582,2732,1735,17,154,111
K6,2271787,47798,52533,48445,334,3815,523
K7,57109,26394,29103,26065,216,3792,111
K8,68229,41196,32445,29918,206,2960,236
K9,83804,28825,42235,30395,284,3015,88
K10,98219,40710,44537,40077,222,3446,584
K11,98368,28461,31111,23144,209,3528,82
K12,53470,33199,29908,28498,160,3158,366
K13,123854,42509,48072,40927,287,3045,475
K14,57470,22640,26529,26140,254,3792,146
K15,94560,30575,46011,30493,269,3699,124
K16,85537,37059,43820,30689,305,2956,707
K17,201432,82787,78609,67744,361,3650,498
K18,96013,46699,50481,37011,323,2209,1113
K19,67374,31654,35234,22185,247,3378,38
K20,372197,111377,106908,81131,397,3206,351
K21,74800,36865,42841,39618,380,3144,202
K22,97269,45740,44008,37199,232,2657,344
K23,86261,46696,33144,27937,227,3174,368
K24,135135,57480,62530,51763,348,2851,195
L1,163735,64845,77864,52787,428,3306,371
L2,112854,43252,48148,39792,422,2986,1504
L3,63474,26181,30746,27891,145,3524,201
L4,54529,37265,29538,27370,217,2782,299
L5,96301,42668,51774,45684,434,2918,293
L6,163218,67489,74021,48967,536,2993,1433
L7,66547,29598,31777,24888,256,3599,258
L8,237820,98850,108425,84122,476,3584,446
L9,75567,32484,43305,35722,257,3221,282
L10,123943,55666,61904,43291,343,3214,782
L11,73460,26032,56123,27477,384,2789,5479
L12,72671,30618,39323,30526,354,2849,349
L13,103127,40423,63410,41755,450,3746,240
L14,92440,29923,27968,19649,193,2256,398
L15,107920,44599,66002,35591,407,3091,215
L16,110892,40223,45872,25850,378,3415,89
L17,78783,40316,29867,45140,205,2695,797
L18,100478,26060,34969,27439,231,2813,310
L19,80747,30468,36607,29903,172,2517,145
L20,128547,37974,73794,36318,537,2577,377
L21,105958,35706,59925,29854,548,3254,457
L22,62872,35025,42101,26217,314,2917,188
L23,60668,28158,33505,23387,207,3000,188
L24,225888,26909,25750,24152,237,1323,195
M1,233355,96385,95161,81354,447,3832,249
M2,89092,38111,44251,39761,341,3646,226
M3,37705,28488,21861,20069,271,3617,186
M4,172395,86031,82991,67263,347,3314,308
M5,88637,29755,34179,24156,348,4025,160
M6,102441,53857,58878,46168,473,4059,4714
M7,132647,25589,29809,24631,182,2576,380
M8,110279,37791,42496,41444,393,2809,1772
M9,156118,62130,81401,48241,504,2969,8994
M10,93061,53344,52223,36520,439,2997,2139
M11,56088,25990,32000,25476,221,2521,365
M12,72486,41891,38214,31429,340,3120,128
M13,91047,36753,45145,36190,438,3252,1953
M14,2418963,143502,134071,107453,517,4462,556
M15,187901,71857,102500,53254,965,2859,11819
M16,115851,43482,67009,32654,319,4034,15418
M17,65221,33444,36361,33420,312,2855,2388
M18,183139,65755,105409,66373,795,3950,10654
M20,80764,38668,35464,32273,207,3360,250
M21,81419,38208,42252,29728,254,2683,1667
M22,107869,64454,54280,40225,337,2405,2607
M23,100714,42176,47158,36216,231,2884,121
M24,127989,51605,65428,47127,507,3098,369
N1,353988,155003,149031,107094,712,3425,887
N2,46408,22628,26086,21414,266,2032,264
N3,146121,52229,82613,42200,559,3085,6119
N4,76234,37249,34961,31330,219,2020,416
N5,55209,31061,27449,30529,396,2919,344
N6,67629,30979,33221,27900,217,2362,324
N7,56561,23526,27271,19695,252,2908,506
N8,57387,24538,30211,28180,187,2876,2958
N9,101119,53663,51161,38310,281,3417,1327
N10,110782,40884,54731,35933,345,2350,1617
N11,96715,55167,67471,34690,496,4572,10800
N12,236101,56093,67894,56124,638,3220,6926
N13,86207,35660,45289,37855,453,3390,2145
N14,172494,78118,93571,59540,844,3076,1187
N15,111117,39742,58630,39517,467,2994,2460
N16,138161,57511,70934,51870,355,2667,454
N17,113162,53978,55112,40769,633,3200,1872
N18,64304,25613,35693,21190,211,2908,3710
N19,79176,34966,53126,22569,485,2190,4299
N20,52538,21596,21704,19780,112,1946,254
N21,82821,47252,41479,29704,282,2755,458
N22,72106,28538,38344,29911,234,2156,207
N23,58341,29406,39360,26637,284,2737,7199
N24,68542,35293,33465,27749,210,2140,1025
O1,101482,40154,43494,50299,205,2474,165
O2,32583,22444,14734,16976,94,3153,26
O3,83692,45967,32252,31380,185,3031,106
O4,127059,44465,67087,46900,558,3489,3900
O5,36758,16494,18706,20133,138,2634,135
O6,52731,24801,22981,31839,156,3101,1463
O7,49199,17752,25005,26427,235,3618,626
O8,48429,53547,30095,22757,240,3727,203
O9,31755,17636,16282,22028,106,3614,73
O10,39697,16121,23528,20373,294,2998,2082
O11,49316,26826,21848,25566,151,2408,648
O12,49574,18967,13893,15649,246,3615,575
O13,27572,28830,12015,12943,126,2418,182
O14,29784,15964,15685,13879,207,3190,1776
O15,60216,33432,22494,25039,194,3402,181
O16,45628,16897,25576,24630,247,4060,1432
O17,47045,27279,23637,26170,204,4171,2730
O18,62470,29625,30739,29439,214,2953,3496
O19,26933,9217,14684,11945,118,3286,76
O20,36550,16622,19247,18352,180,3171,205
O21,133202,57163,54441,43271,287,3359,288
O22,57983,20665,27248,25878,200,3023,105
O23,55960,22307,18727,16703,192,3148,528
O24,96171,35081,32476,30707,199,2429,1214
P1,797,7131,17,15,0,10,0
P2,3640,4789,18,27,0,1,0
P3,71606,33138,28126,32195,247,3069,128
P4,17049,7722,907,841,16,3196,40
P5,90609,46573,39874,37373,254,2880,32
P6,133661,47463,49950,47933,277,2720,1654
P7,86543,41278,34610,36395,286,3454,5688
P8,43517,18142,17447,19165,104,2779,123
P9,66179,21610,31863,27140,176,2729,1431
P10,91152,32445,27529,34335,164,3324,263
P11,64081,25508,25686,20183,175,2874,94
P12,69293,24220,28054,25982,278,3168,1579
P13,41900,15209,18817,14662,179,2507,383
P14,42768,23399,19508,20330,246,2824,1082
P15,69468,21987,29258,23937,168,3805,1722
P16,92478,37140,36637,25825,213,2567,1967
P17,32174,18113,18129,13752,106,2506,367
P18,54362,13662,16178,10744,129,1375,918
P19,40128,23379,22357,17741,172,2680,1646
P20,93512,41572,30614,29209,192,2098,167
P21,940233,31236,33519,26466,176,2641,599
P22,10484,16642,955,565,4,2264,19
P23,1515,5845,34,19,0,0,0
P24,987,13007,11,107,0,0,0
